,Source1,Source2,Weight
0,Moddable,Realistic,7
1,Moddable,Strategy,12
2,Moddable,Action,6
3,Moddable,Co-op,7
4,Moddable,First-Person,7
5,Moddable,Multiplayer,12
6,Moddable,Singleplayer,12
7,Moddable,GreatSoundtrack,6
8,Moddable,OpenWorld,8
9,Moddable,Sandbox,9
10,Moddable,Atmospheric,7
11,Moddable,Simulation,12
12,Moddable,Management,9
13,Moddable,Economy,6
14,eSports,Action,6
15,eSports,Co-op,6
16,eSports,Competitive,6
17,eSports,Multiplayer,6
18,FPS,Realistic,6
19,FPS,OnlineCo-Op,15
20,FPS,Action,26
21,FPS,Shooter,24
22,FPS,Co-op,20
23,FPS,PvP,11
24,FPS,First-Person,26
25,FPS,Difficult,6
26,FPS,Multiplayer,23
27,FPS,Tactical,8
28,FPS,Team-Based,8
29,FPS,Simulation,8
30,FPS,Stealth,6
31,FPS,Survival,12
32,FPS,Singleplayer,14
33,FPS,StoryRich,10
34,FPS,Post-apocalyptic,7
35,FPS,Violent,6
36,FPS,GreatSoundtrack,11
37,FPS,Adventure,15
38,FPS,Gore,10
39,FPS,Sci-fi,12
40,FPS,Atmospheric,17
41,FPS,Horror,10
42,FPS,OpenWorld,16
43,FPS,Exploration,8
44,FPS,Sandbox,7
45,FPS,Zombies,6
46,Realistic,OnlineCo-Op,8
47,Realistic,War,6
48,Realistic,Strategy,7
49,Realistic,Action,12
50,Realistic,Shooter,8
51,Realistic,Co-op,9
52,Realistic,First-Person,9
53,Realistic,Multiplayer,18
54,Realistic,Singleplayer,13
55,Realistic,Adventure,8
56,Realistic,OpenWorld,11
57,Realistic,Sandbox,8
58,Realistic,Atmospheric,7
59,Realistic,Simulation,16
60,Realistic,Casual,7
61,Realistic,Relaxing,6
62,Realistic,FamilyFriendly,7
63,Realistic,Management,6
64,OnlineCo-Op,Strategy,14
65,OnlineCo-Op,Action,34
66,OnlineCo-Op,Shooter,17
67,OnlineCo-Op,Co-op,36
68,OnlineCo-Op,PvP,15
69,OnlineCo-Op,Competitive,8
70,OnlineCo-Op,First-Person,20
71,OnlineCo-Op,Difficult,12
72,OnlineCo-Op,Multiplayer,38
73,OnlineCo-Op,Tactical,10
74,OnlineCo-Op,Team-Based,12
75,OnlineCo-Op,Simulation,15
76,OnlineCo-Op,EarlyAccess,6
77,OnlineCo-Op,Third-PersonShooter,6
78,OnlineCo-Op,Survival,14
79,OnlineCo-Op,ThirdPerson,7
80,OnlineCo-Op,Casual,6
81,OnlineCo-Op,Funny,8
82,OnlineCo-Op,CharacterCustomization,6
83,OnlineCo-Op,RPG,12
84,OnlineCo-Op,Indie,10
85,OnlineCo-Op,MassivelyMultiplayer,8
86,OnlineCo-Op,Controller,6
87,OnlineCo-Op,Singleplayer,23
88,OnlineCo-Op,GreatSoundtrack,7
89,OnlineCo-Op,Adventure,16
90,OnlineCo-Op,Atmospheric,11
91,OnlineCo-Op,Horror,10
92,OnlineCo-Op,Gore,7
93,OnlineCo-Op,OpenWorld,15
94,OnlineCo-Op,PvE,6
95,OnlineCo-Op,SurvivalHorror,6
96,OnlineCo-Op,Sandbox,10
97,OnlineCo-Op,Crafting,7
98,OnlineCo-Op,OpenWorldSurvivalCraft,7
99,War,Strategy,11
100,War,Military,7
101,War,Action,9
102,War,Co-op,8
103,War,Multiplayer,13
104,War,Tactical,8
105,War,Singleplayer,8
106,War,Simulation,8
107,War,Historical,6
108,War,RTS,6
109,Strategy,Military,7
110,Strategy,Action,17
111,Strategy,Co-op,20
112,Strategy,PvP,8
113,Strategy,Competitive,7
114,Strategy,First-Person,11
115,Strategy,Difficult,6
116,Strategy,Multiplayer,28
117,Strategy,Tactical,9
118,Strategy,Team-Based,7
119,Strategy,Simulation,20
120,Strategy,Survival,6
121,Strategy,RTS,8
122,Strategy,ReplayValue,6
123,Strategy,RPG,10
124,Strategy,Singleplayer,23
125,Strategy,GreatSoundtrack,11
126,Strategy,Adventure,10
127,Strategy,OpenWorld,9
128,Strategy,Sandbox,14
129,Strategy,Historical,7
130,Strategy,Building,6
131,Strategy,GrandStrategy,7
132,Strategy,Management,9
133,Strategy,Atmospheric,6
134,Strategy,Casual,6
135,Military,Action,7
136,Military,Co-op,7
137,Military,Multiplayer,9
138,Military,Tactical,6
139,Military,Simulation,7
140,Action,Shooter,28
141,Action,Co-op,48
142,Action,PvP,20
143,Action,Competitive,11
144,Action,First-Person,35
145,Action,Difficult,20
146,Action,Multiplayer,56
147,Action,Tactical,14
148,Action,Team-Based,14
149,Action,Simulation,20
150,Action,EarlyAccess,10
151,Action,Stealth,10
152,Action,Third-PersonShooter,11
153,Action,Survival,21
154,Action,ThirdPerson,23
155,Action,Casual,8
156,Action,Funny,12
157,Action,Sci-fi,18
158,Action,Space,8
159,Action,Singleplayer,51
160,Action,Mature,7
161,Action,StoryRich,24
162,Action,Post-apocalyptic,8
163,Action,Violent,11
164,Action,GreatSoundtrack,29
165,Action,Adventure,43
166,Action,Gore,15
167,Action,Atmospheric,35
168,Action,Horror,17
169,Action,Comedy,7
170,Action,OpenWorld,37
171,Action,Sandbox,21
172,Action,CharacterCustomization,14
173,Action,ActionRPG,14
174,Action,HackandSlash,7
175,Action,Fantasy,13
176,Action,Exploration,18
177,Action,ReplayValue,9
178,Action,Souls-like,6
179,Action,RPG,26
180,Action,FreetoPlay,9
181,Action,Indie,16
182,Action,MassivelyMultiplayer,13
183,Action,Controller,6
184,Action,Lore-Rich,6
185,Action,PvE,9
186,Action,Loot,7
187,Action,Historical,6
188,Action,SurvivalHorror,9
189,Action,Building,7
190,Action,Crafting,10
191,Action,OpenWorldSurvivalCraft,10
192,Action,DarkFantasy,6
193,Action,FemaleProtagonist,6
194,Action,Zombies,8
195,Shooter,Co-op,24
196,Shooter,PvP,10
197,Shooter,First-Person,23
198,Shooter,Difficult,8
199,Shooter,Multiplayer,25
200,Shooter,Tactical,9
201,Shooter,Team-Based,9
202,Shooter,Simulation,9
203,Shooter,Third-PersonShooter,10
204,Shooter,Survival,12
205,Shooter,ThirdPerson,7
206,Shooter,Singleplayer,15
207,Shooter,StoryRich,8
208,Shooter,Post-apocalyptic,7
209,Shooter,Violent,6
210,Shooter,GreatSoundtrack,11
211,Shooter,Adventure,14
212,Shooter,Gore,9
213,Shooter,Sci-fi,11
214,Shooter,Atmospheric,16
215,Shooter,Horror,10
216,Shooter,OpenWorld,13
217,Shooter,Sandbox,7
218,Shooter,FreetoPlay,6
219,Co-op,PvP,19
220,Co-op,Competitive,10
221,Co-op,First-Person,27
222,Co-op,Difficult,15
223,Co-op,Multiplayer,55
224,Co-op,Tactical,15
225,Co-op,Team-Based,14
226,Co-op,Simulation,21
227,Co-op,EarlyAccess,9
228,Co-op,Third-PersonShooter,8
229,Co-op,Survival,19
230,Co-op,ThirdPerson,12
231,Co-op,Casual,7
232,Co-op,Funny,11
233,Co-op,Sci-fi,11
234,Co-op,Space,6
235,Co-op,Singleplayer,36
236,Co-op,Comedy,7
237,Co-op,GreatSoundtrack,15
238,Co-op,Adventure,26
239,Co-op,OpenWorld,24
240,Co-op,Sandbox,17
241,Co-op,Atmospheric,21
242,Co-op,CharacterCustomization,9
243,Co-op,Fantasy,7
244,Co-op,Exploration,11
245,Co-op,ReplayValue,8
246,Co-op,RPG,16
247,Co-op,FreetoPlay,8
248,Co-op,Indie,13
249,Co-op,MassivelyMultiplayer,10
250,Co-op,Controller,6
251,Co-op,3D,6
252,Co-op,PvE,8
253,Co-op,Loot,7
254,Co-op,StoryRich,8
255,Co-op,Horror,12
256,Co-op,Violent,8
257,Co-op,Gore,9
258,Co-op,Building,7
259,Co-op,Historical,6
260,Co-op,SurvivalHorror,6
261,Co-op,BaseBuilding,6
262,Co-op,Crafting,9
263,Co-op,OpenWorldSurvivalCraft,8
264,PvP,Competitive,7
265,PvP,First-Person,10
266,PvP,Difficult,7
267,PvP,Multiplayer,22
268,PvP,Tactical,6
269,PvP,Team-Based,8
270,PvP,Simulation,7
271,PvP,Survival,7
272,PvP,CharacterCustomization,6
273,PvP,RPG,7
