,Source1,Source2,Weight
0,Competitive,FPS,7
1,Competitive,First-Person,6
2,Competitive,PvP,7
3,Competitive,Team-Based,8
4,Competitive,Co-op,10
5,Competitive,Strategy,7
6,Competitive,Multiplayer,12
7,Competitive,Action,11
8,Competitive,OnlineCo-Op,8
9,Realistic,FPS,9
10,Realistic,First-Person,14
11,Realistic,Moddable,8
12,Realistic,Shooter,10
13,Realistic,Co-op,10
14,Realistic,War,8
15,Realistic,Military,7
16,Realistic,Strategy,8
17,Realistic,Multiplayer,19
18,Realistic,Action,14
19,Realistic,OnlineCo-Op,9
20,Realistic,3D,6
21,Realistic,Indie,7
22,Realistic,ThirdPerson,7
23,Realistic,Singleplayer,15
24,Realistic,OpenWorld,13
25,Realistic,GreatSoundtrack,6
26,Realistic,Sandbox,9
27,Realistic,Adventure,8
28,Realistic,Atmospheric,11
29,Realistic,Simulation,17
30,Realistic,Management,7
31,Realistic,FamilyFriendly,8
32,Realistic,Relaxing,7
33,Realistic,Casual,7
34,Realistic,Economy,7
35,FPS,First-Person,22
36,FPS,PvP,10
37,FPS,Team-Based,8
38,FPS,Shooter,19
39,FPS,Co-op,17
40,FPS,Strategy,6
41,FPS,Multiplayer,22
42,FPS,Action,22
43,FPS,Tactical,8
44,FPS,OnlineCo-Op,16
45,FPS,Stealth,6
46,FPS,Simulation,7
47,FPS,Survival,10
48,FPS,Sci-fi,7
49,FPS,OpenWorld,17
50,FPS,Adventure,13
51,FPS,Atmospheric,11
52,FPS,Gore,6
53,FPS,Singleplayer,11
54,FPS,StoryRich,7
55,FPS,Sandbox,8
56,First-Person,Moddable,7
57,First-Person,PvP,11
58,First-Person,Team-Based,8
59,First-Person,Shooter,20
60,First-Person,Co-op,20
61,First-Person,Military,6
62,First-Person,Strategy,10
63,First-Person,Multiplayer,29
64,First-Person,Difficult,6
65,First-Person,Action,31
66,First-Person,Tactical,7
67,First-Person,OnlineCo-Op,18
68,First-Person,Third-PersonShooter,6
69,First-Person,Stealth,8
70,First-Person,ThirdPerson,10
71,First-Person,EarlyAccess,8
72,First-Person,Simulation,12
73,First-Person,Survival,15
74,First-Person,Sci-fi,10
75,First-Person,OpenWorld,23
76,First-Person,Adventure,20
