,Source1,Source2,Weight
0,FPS,Action,26
1,FPS,Shooter,25
2,FPS,Co-op,21
3,FPS,Sci-fi,7
4,FPS,PvP,14
5,FPS,Survival,8
6,FPS,First-Person,25
7,FPS,Multiplayer,25
8,FPS,Tactical,11
9,FPS,Team-Based,10
10,FPS,Singleplayer,15
11,FPS,Realistic,9
12,FPS,OnlineCo-Op,13
13,FPS,War,9
14,FPS,Military,8
15,FPS,Violent,7
16,FPS,Gore,8
17,FPS,Atmospheric,16
18,FPS,Strategy,6
19,FPS,Competitive,6
20,FPS,Simulation,9
21,FPS,Adventure,11
22,FPS,OpenWorld,15
23,FPS,MassivelyMultiplayer,6
24,FPS,Combat,6
25,FPS,Horror,6
26,FPS,GreatSoundtrack,6
27,FPS,Sandbox,6
28,CharacterCustomization,Action,17
29,CharacterCustomization,Co-op,13
30,CharacterCustomization,PvP,9
31,CharacterCustomization,First-Person,6
32,CharacterCustomization,FreetoPlay,7
33,CharacterCustomization,Multiplayer,17
34,CharacterCustomization,Singleplayer,16
35,CharacterCustomization,ActionRPG,9
36,CharacterCustomization,OnlineCo-Op,9
37,CharacterCustomization,Fantasy,11
38,CharacterCustomization,GreatSoundtrack,6
39,CharacterCustomization,OpenWorld,10
40,CharacterCustomization,3D,6
41,CharacterCustomization,ThirdPerson,12
42,CharacterCustomization,Atmospheric,8
43,CharacterCustomization,RPG,14
44,CharacterCustomization,Simulation,7
45,CharacterCustomization,Adventure,11
46,CharacterCustomization,PvE,7
47,Funny,Action,12
48,Funny,Co-op,7
49,Funny,First-Person,8
50,Funny,Multiplayer,11
51,Funny,Singleplayer,11
52,Funny,GreatSoundtrack,7
53,Funny,Adventure,9
54,Funny,OpenWorld,7
55,Funny,Sandbox,6
56,Action,Shooter,28
57,Action,Co-op,46
58,Action,Sci-fi,15
59,Action,PvP,29
60,Action,Survival,18
61,Action,First-Person,38
62,Action,FreetoPlay,12
63,Action,Multiplayer,56
64,Action,Loot,7
65,Action,Tactical,15
66,Action,Team-Based,15
67,Action,Singleplayer,50
68,Action,ActionRPG,14
69,Action,OnlineCo-Op,31
70,Action,Fantasy,14
71,Action,Violent,13
72,Action,GreatSoundtrack,19
73,Action,OpenWorld,41
74,Action,3D,7
75,Action,Difficult,12
76,Action,ThirdPerson,30
