,Source1,Source2,Weight
0,FPS,Action,23
1,FPS,Shooter,21
2,FPS,Co-op,18
3,FPS,Adventure,9
4,FPS,Sci-fi,7
5,FPS,PvP,11
6,FPS,OpenWorld,11
7,FPS,First-Person,22
8,FPS,Multiplayer,20
9,FPS,Atmospheric,14
10,FPS,Realistic,6
11,FPS,OnlineCo-Op,11
12,FPS,War,6
13,FPS,Tactical,10
14,FPS,Team-Based,9
15,FPS,Survival,7
16,FPS,Singleplayer,11
17,FPS,GreatSoundtrack,6
18,FPS,Exploration,6
19,FPS,Gore,8
20,FPS,Combat,6
21,FPS,Horror,7
22,PvE,Action,15
23,PvE,Shooter,7
24,PvE,Co-op,15
25,PvE,Adventure,8
26,PvE,PvP,11
27,PvE,OpenWorld,7
28,PvE,First-Person,9
29,PvE,Multiplayer,15
30,PvE,Atmospheric,9
31,PvE,MassivelyMultiplayer,7
32,PvE,Singleplayer,12
33,PvE,CharacterCustomization,7
34,PvE,OnlineCo-Op,10
35,PvE,RPG,7
36,PvE,3D,6
37,Action,Shooter,27
38,Action,Co-op,43
39,Action,Adventure,41
40,Action,Sci-fi,17
41,Action,PvP,23
42,Action,OpenWorld,35
43,Action,Competitive,9
44,Action,First-Person,38
45,Action,Space,7
46,Action,FreetoPlay,8
47,Action,Multiplayer,52
48,Action,Atmospheric,38
49,Action,MassivelyMultiplayer,13
50,Action,Moddable,6
51,Action,Realistic,15
52,Action,OnlineCo-Op,27
53,Action,War,10
54,Action,Strategy,9
55,Action,Military,9
56,Action,Difficult,12
57,Action,Tactical,14
58,Action,Team-Based,13
59,Action,CharacterCustomization,21
60,Action,Funny,12
61,Action,Survival,19
62,Action,Simulation,16
63,Action,EarlyAccess,14
64,Action,Stealth,8
65,Action,Third-PersonShooter,11
66,Action,ThirdPerson,29
67,Action,ActionRPG,14
68,Action,Fantasy,11
69,Action,RPG,25
70,Action,Singleplayer,48
71,Action,Mature,8
72,Action,StoryRich,18
73,Action,Violent,14
74,Action,GreatSoundtrack,17
75,Action,Exploration,22
76,Action,Building,7
77,Action,SurvivalHorror,10
78,Action,Action-Adventure,18
79,Action,Sandbox,17
80,Action,Crafting,11
81,Action,Horror,18
82,Action,Gore,14
83,Action,Dark,9
84,Action,Combat,15
85,Action,3D,11
86,Action,HackandSlash,6
87,Action,Parkour,7
88,Action,Post-apocalyptic,6
89,Action,Souls-like,8
90,Action,Zombies,7
91,Action,PsychologicalHorror,7
92,Action,Indie,9
93,Action,OpenWorldSurvivalCraft,7
94,Shooter,Co-op,21
95,Shooter,Adventure,10
96,Shooter,Sci-fi,7
97,Shooter,PvP,11
98,Shooter,OpenWorld,9
99,Shooter,First-Person,20
100,Shooter,FreetoPlay,6
101,Shooter,Multiplayer,22
102,Shooter,Atmospheric,15
103,Shooter,MassivelyMultiplayer,6
104,Shooter,Realistic,8
105,Shooter,OnlineCo-Op,13
106,Shooter,War,8
107,Shooter,Military,7
108,Shooter,Tactical,11
109,Shooter,Team-Based,10
110,Shooter,Survival,8
111,Shooter,Simulation,6
112,Shooter,Third-PersonShooter,10
113,Shooter,ThirdPerson,9
114,Shooter,Singleplayer,13
115,Shooter,Gore,9
116,Shooter,RPG,6
117,Shooter,Combat,9
118,Shooter,Horror,10
119,Co-op,Adventure,21
120,Co-op,Sci-fi,7
121,Co-op,PvP,20
122,Co-op,OpenWorld,23
123,Co-op,Competitive,8
124,Co-op,First-Person,29
125,Co-op,FreetoPlay,7
126,Co-op,Multiplayer,47
127,Co-op,Atmospheric,25
128,Co-op,MassivelyMultiplayer,8
129,Co-op,eSports,6
130,Co-op,Realistic,12
131,Co-op,OnlineCo-Op,32
132,Co-op,War,9
133,Co-op,Strategy,12
134,Co-op,Difficult,9
135,Co-op,Tactical,14
136,Co-op,Team-Based,13
137,Co-op,CharacterCustomization,13
138,Co-op,Funny,7
139,Co-op,Survival,15
140,Co-op,Simulation,17
141,Co-op,EarlyAccess,11
142,Co-op,Third-PersonShooter,6
143,Co-op,ThirdPerson,15
144,Co-op,ActionRPG,7
145,Co-op,Fantasy,8
146,Co-op,RPG,16
147,Co-op,Singleplayer,32
148,Co-op,Building,8
149,Co-op,SurvivalHorror,8
150,Co-op,Action-Adventure,8
151,Co-op,BaseBuilding,6
152,Co-op,Exploration,13
153,Co-op,Sandbox,13
154,Co-op,Crafting,9
155,Co-op,Horror,14
156,Co-op,Violent,9
157,Co-op,Gore,10
158,Co-op,3D,9
159,Co-op,GreatSoundtrack,8
160,Co-op,Management,7
161,Co-op,Post-apocalyptic,6
162,Co-op,Indie,7
163,Co-op,OpenWorldSurvivalCraft,7
164,Co-op,Combat,7
165,Co-op,Historical,6
166,Co-op,Zombies,6
167,Adventure,Sci-fi,11
168,Adventure,PvP,11
169,Adventure,OpenWorld,35
170,Adventure,First-Person,21
171,Adventure,Multiplayer,35
172,Adventure,Atmospheric,30
173,Adventure,MassivelyMultiplayer,9
174,Adventure,Singleplayer,41
175,Adventure,CharacterCustomization,15
176,Adventure,ActionRPG,9
177,Adventure,StoryRich,18
178,Adventure,Violent,11
179,Adventure,GreatSoundtrack,15
180,Adventure,Exploration,23
181,Adventure,RPG,23
182,Adventure,Building,8
183,Adventure,SurvivalHorror,9
184,Adventure,Simulation,14
185,Adventure,EarlyAccess,10
186,Adventure,Action-Adventure,14
187,Adventure,Survival,16
188,Adventure,Sandbox,16
189,Adventure,Crafting,11
190,Adventure,Horror,11
191,Adventure,OnlineCo-Op,12
192,Adventure,Fantasy,9
193,Adventure,Combat,9
194,Adventure,Moddable,6
195,Adventure,Realistic,11
196,Adventure,ThirdPerson,22
197,Adventure,Dark,7
198,Adventure,PsychologicalHorror,6
199,Adventure,Gore,8
200,Adventure,Third-PersonShooter,6
201,Adventure,Funny,8
202,Adventure,Post-apocalyptic,6
203,Adventure,Indie,8
204,Adventure,OpenWorldSurvivalCraft,8
205,Adventure,Souls-like,6
206,Sci-fi,OpenWorld,11
207,Sci-fi,First-Person,10
208,Sci-fi,Space,9
209,Sci-fi,Multiplayer,11
210,Sci-fi,Atmospheric,13
211,Sci-fi,CharacterCustomization,7
212,Sci-fi,Survival,7
213,Sci-fi,Singleplayer,15
214,Sci-fi,StoryRich,6
215,Sci-fi,GreatSoundtrack,7
216,Sci-fi,Exploration,10
217,Sci-fi,RPG,8
218,Sci-fi,Action-Adventure,8
219,Sci-fi,ThirdPerson,7
220,Sci-fi,Combat,6
221,PvP,OpenWorld,12
222,PvP,Competitive,8
223,PvP,First-Person,13
224,PvP,FreetoPlay,7
225,PvP,Multiplayer,28
226,PvP,Atmospheric,8
227,PvP,MassivelyMultiplayer,9
228,PvP,eSports,9
229,PvP,Realistic,7
230,PvP,OnlineCo-Op,16
231,PvP,War,7
232,PvP,Strategy,7
233,PvP,Difficult,6
234,PvP,Tactical,9
235,PvP,Team-Based,12
236,PvP,CharacterCustomization,10
237,PvP,Survival,6
238,PvP,Simulation,11
239,PvP,ThirdPerson,6
240,PvP,Fantasy,7
241,PvP,3D,9
242,PvP,Singleplayer,15
243,OpenWorld,First-Person,20
244,OpenWorld,Multiplayer,37
245,OpenWorld,Atmospheric,29
246,OpenWorld,MassivelyMultiplayer,8
247,OpenWorld,Singleplayer,40
248,OpenWorld,CharacterCustomization,13
249,OpenWorld,ActionRPG,11
250,OpenWorld,StoryRich,12
251,OpenWorld,Violent,8
252,OpenWorld,GreatSoundtrack,18
253,OpenWorld,Exploration,22
254,OpenWorld,RPG,23
255,OpenWorld,Building,10
256,OpenWorld,Simulation,17
257,OpenWorld,EarlyAccess,10
258,OpenWorld,Action-Adventure,8
259,OpenWorld,BaseBuilding,8
260,OpenWorld,Survival,13
261,OpenWorld,Sandbox,20
262,OpenWorld,Crafting,11
263,OpenWorld,Horror,8
264,OpenWorld,Moddable,9
265,OpenWorld,Realistic,9
266,OpenWorld,ThirdPerson,19
267,OpenWorld,Fantasy,8
268,OpenWorld,FamilyFriendly,6
269,OpenWorld,OnlineCo-Op,13
270,OpenWorld,3D,7
271,OpenWorld,Gore,7
272,OpenWorld,Indie,10
273,OpenWorld,OpenWorldSurvivalCraft,8
274,OpenWorld,Management,6
275,Competitive,First-Person,7
276,Competitive,Multiplayer,10
277,Competitive,eSports,6
278,Competitive,OnlineCo-Op,6
279,First-Person,Multiplayer,32
280,First-Person,Atmospheric,20
281,First-Person,MassivelyMultiplayer,6
282,First-Person,Moddable,6
283,First-Person,Realistic,11
284,First-Person,OnlineCo-Op,18
285,First-Person,War,6
286,First-Person,Tactical,10
287,First-Person,Team-Based,9
288,First-Person,CharacterCustomization,8
